date,high,low
2019/7/8,997.9,975
2019/7/9,989,968.35
2019/7/10,990.58,977
2019/7/11,998.38,976
2019/7/12,991.5,980.01
2019/7/15,980.1,951.13
2019/7/16,982.3,965
2019/7/17,972.99,962.13
2019/7/18,963,947.18
2019/7/19,960.8,948
2019/7/22,964,950.25
2019/7/23,962.59,943.86
2019/7/24,959.9,944.69
2019/7/25,963.36,938.15
2019/7/26,971,958.55
2019/7/29,979.5,960.01
2019/7/30,983,971
2019/7/31,981.77,966.59
2019/8/1,977,953.02
2019/8/2,957.98,943
2019/8/5,954,940
2019/8/6,948,923.8
2019/8/7,955.53,945
2019/8/8,974,952
2019/8/9,980.95,958.99
2019/8/12,1020.1,995.01
2019/8/13,1026,1010.68
2019/8/14,1051.9,1030.02
2019/8/15,1046.48,1028
2019/8/16,1075.58,1041
2019/8/19,1069.98,1049.05
2019/8/20,1073.68,1050
2019/8/21,1076.97,1061.66
2019/8/22,1104,1070
2019/8/23,1133.56,1095.62
2019/8/26,1128,1096.68
2019/8/27,1131.31,1109
2019/8/28,1123.19,1083.01
2019/8/29,1118.18,1092.5
2019/8/30,1146,1123
2019/9/2,1144.98,1129
2019/9/3,1151.02,1128.56
2019/9/4,1142.91,1120.11
2019/9/5,1144.9,1128
2019/9/6,1146.15,1131
2019/9/9,1148,1135
2019/9/10,1135,1120.01
